German,English,Frequency
heart,heart,957
ländern,countries,957
bevorzuge,prefer,957
ctu,ctu,957
umkreis,perimeter,957
beschwerden,complaints,957
teufels,devil,956
brooke,brooke,956
genehmigt,approved,956
bildern,images,956
scheißen,shit,956
schenkte,gave,956
erschlagen,slay,955
irland,Ireland,955
yard,yard,955
journalisten,journalists,955
fände,would find,955
zurückkomme,come back,955
ärmel,sleeve,955
fließen,flow,955
arabisch,Arabic,954
verfolge,follow,954
juckt,itchy,954
männliche,male,954
klingonen,sounding ones,954
zerrissen,torn,953
tausch,exchange,953
schlaganfall,stroke,953
johannes,john,953
popcorn,Popcorn,953
gärtner,gardener,953
bläst,blows,953
jet,jet,953
chester,chester,952
garantie,guarantee,952
ändere,change,952
jessie,jessie,952
anstand,decency,952
power,power,952
junkie,junkie,951
vati,dad,951
topf,pot,951
packe,pack,951
knöpfe,Buttons,951
aussehe,look,950
verabschiedet,adopted,950
bedürfnis,desire,950
nähen,sew,950
sprecher,speaker,950
chemie,chemistry,950
hinweisen,Clues,949
stumm,mute,948
zusammenhalten,stick together,948
geradezu,almost,948
mitzunehmen,take,948
weite,width,948
lori,lori,948
rippen,rib,948
kühl,cool,948
dahinten,back there,947
techniker,technician,947
abel,abel,947
betet,pray,947
beachten,note,947
baute,built,947
bonjour,bonjour,947
schecks,checks,947
ausgabe,output,947
boyd,boyd,947
vermasseln,screw up,946
nötige,necessary,946
südlich,southern,946
gramm,gram,946
laken,sheet,946
bildet,forms,946
bewahre,beware,946
leises,slight,946
g.,G.,946
lastwagen,truck,945
kritik,criticism,945
stürzte,crashed,945
behält,reserves,945
sofern,provided,945
vermisste,missing,945
entsetzlich,terrible,945
francine,francine,945
ermittler,investigator,945
nikki,nikki,945
aufgestanden,got up,945
fälschung,forgery,944
visiontext,vision text,944
abschnitt,section,944
hausarrest,house arrest,944
sensibel,sensitive,944
album,album,944
lebewesen,Creature,944
lösegeld,ransom,944
verwechselt,mistaken,944
prügeln,beat,944
regnen,rain,943
weichen,give way,943
point,point,943
pussy,pussy,943
anvertrauen,entrust,942
ollie,ollie,942
kuppel,dome,942
verließen,leaving,942
jakob,James,942
besuchte,visited,942
gewerkschaft,labor union,942
herhören,herhören,942
vorbeigekommen,passed,941
stärken,strengthen,941
hinzu,in addition,941
wrack,wreck,941
knarren,creak,940
treibstoff,fuel,940
signale,signals,940
nachkommen,progeny,940
hoppla,Oops,940
verborgen,hidden,940
belegt,occupied,939
babylon,Babylon,939
waisenhaus,orphanage,939
brasilien,Brazil,939
bitteschön,you are welcome,939
wurmloch,wormhole,939
alters,age,939
deb,deb,938
fee,fairy,938
milton,milton,938
quarantäne,quarantine,938
kommunisten,communists,938
stiftung,"Foundation, endowment",937
milo,milo,937
gestapo,gestapo,937
verreisen,travel,936
halleluja,Hallelujah,936
süchtig,addicted,936
jammern,whine,936
hofft,hopes,936
wertvolle,valuable,936
maulwurf,mole,936
konflikt,conflict,936
turnier,competition,936
gebacken,baked,936
rauszufinden,find out,936
taube,Dove,935
mais,Corn,935
nüsse,nuts,935
trieb,shoot,935
eigenschaften,characteristics,934
feder,feather,934
sänger,Singer,934
elias,Elias,934
dessert,dessert,934
rathaus,town hall,934
drohungen,threats,934
bewirken,cause,933
mörderin,murderess,933
u,u,933
edith,edith,933
wanne,tub,933
durchkommen,get through,933
reid,reid,933
mandy,Mandy,932
vertraute,familiar,932
schätzt,estimates,932
freuden,delights,932
dauer,duration,932
regt,upset,932
verbessert,improved,932
unerwartet,unexpectedly,932
drogendealer,Drug dealer,932
gefährlichen,dangerous,931
fach,subject,931
verdanke,owe,931
wohnungen,Apartments,931
commissioner,commissioner,930
cross,cross,930
kragen,collar,930
schwachen,weaknesses,930
mercedes,Mercedes,930
klirren,clink,930
valentinstag,valentine's Day,929
anstelle,instead of,929
plane,plans,929
reizende,lovely,929
höheren,higher,928
markiert,marked,928
ehrenwort,word of honor,928
cheers,cheers,927
schlamm,mud,927
wälder,forests,927
diner,dinner,927
handlung,plot,927
costa,costa,926
versauen,mess up,926
klassiker,classic,926
stange,pole,926
empfohlen,recommended,926
cynthia,cynthia,926
gaby,gaby,926
rauswerfen,kick out,926
mechaniker,mechanic,926
beichten,confess,926
abkürzung,abbreviation,926
professionell,professional,925
begräbnis,funeral,925
verführen,seduce,925
meinerseits,my part,925
valerie,valerie,925
françois,françois,925
magischen,magic,925
ellis,ellis,925
dienstmädchen,maid,925
chirurg,surgeon,925
wal,whale,925
paare,pairs,925
center,center,925
sähe,would look,924
aufgemacht,opened,924
leide,suffer,924
amüsant,amusing,924
obersten,topmost,924
fletcher,fletcher,924
gerührt,touched,924
schwänze,tails,924
chff00ff,chff00ff,924
note,grade,924
datei,file,923
zugleich,at the same time,923
nackte,naked,923
doppelten,double,923
bewundert,admired,923
dimension,dimension,922
quere,cross,922
wecker,alarm clock,922
entstanden,arose,922
kreischen,screech,922
vivian,vivian,921
läden,shops,921
ios,ios,921
lobby,lobby,921
umgezogen,moved,920
angeklagte,accused,920
perlen,bubble,920
schwulen,gay,920
dutzende,dozens,919
simmons,simmons,919
aufgezogen,raised,919
campus,campus,919
herd,stove,919
hospital,hospital,919
leichtes,light,918
rich,rich,918
gegrüßt,Greetings,918
aufsicht,at sight,918
hündchen,pooch,918
gegenstand,object,918
tageslicht,daylight,916
emotionale,emotional,916
clean,clean,916
cassie,cassie,916
sünder,sinner,916
beträgt,is,916
wunderschönes,beautiful,916
schickst,send,916
weiblichen,female,916
rauszuholen,rauszuholen,916
kapier,figure it,915
rausgeholt,rausgeholt,915
entworfen,designed,915
eingenommen,occupied,915
daphne,daphne,915
mochten,would like,915
köchin,cook,915
willi,willi,915
beichte,confession,915
seven,seven,915
marina,marina,914
ausliefern,deliver,914
perfektes,perfect,914
glücklichen,happy,914
wodurch,whereby,914
entsprechend,corresponding,914
umher,around,914
erica,erica,914
wurst,sausage,914
notiz,note,913
vorsprechen,audition,913
bekannter,known,913
antrieb,drive,913
zwerge,zwerge,913
trösten,to comfort,913
armut,poverty,913
verbannt,relegated,912
parade,parade,912
konzentriere,focus,912
angefahren,hit,912
2-mal,2 times,912
kindisch,childish,911
krüppel,cripple,911
kreisen,revolve,911
bestrafung,punishment,911
araber,Arab,910
klebt,sticks,910
perücke,wig,910
gemma,gemma,910
hummer,lobster,910
se,se,910
june,june,910
wimmert,whimpers,910
drittel,one-third,909
budget,budget,909
lieferwagen,delivery trucks,909
shannon,shannon,909
zurückgebracht,brought back,909
verschwiegen,discreet,908
drang,urge,908
redeten,talking,908
chi,chi,908
herzukommen,come here,908
anhängen,attach,908
einsame,lonely,908
wu,wu,908
wraith,wraith,908
erwartete,expected,908
tierarzt,vet,908
cousins,cousins,907
zudem,moreover,907
sturz,fall,907
rusty,rusty,907
untergehen,perish,906
gelang,succeeded,906
wasch,wash,906
schmutzigen,dirty,906
abkommen,agreement,906
tänzer,dancer,906
dürften,likely,905
erstatten,refund,905
verarbeiten,to process,905
verfügbar,available,905
autobahn,Highway,905
mandant,client,905
clubs,clubs,905
lukas,lukas,905
widmen,dedicate,905
sprichwort,saying,904
hierfür,therefor,904
vergeltung,retribution,904
hardy,hardy,904
gekleidet,dressed,904
fotografiert,photographed,904
knallen,to pop,904
wichtigeres,more important,904
immerzu,all the time,904
schuldgefühle,guilt feelings,903
schnurrbart,moustache,903
genügen,suffice,903
rumlaufen,run around,903
brötchen,bun,903
flut,flood,903
haushalt,household,903
angelo,angelo,903
cleveland,Cleveland,903
ministerium,ministry,903
aufgestellt,placed,903
est,est,903
anker,anchor,902
wang,wang,902
qual,torment,902
rauschen,sough,902
debatte,debate,902
informant,informant,902
masse,Dimensions,902
insekten,insects,902
lud,invited,902
glotzt,staring,901
rückseite,back,901
spezialität,specialty,901
schimmer,shine,901
mordfall,murder case,901
verbieten,to forbid,901
terrorist,terrorist,901
sirenen,sirens,901
theorien,theories,901
kichern,giggle,901
positive,positive,901
gestresst,stressed out,900
korea,Korea,900
zeitschrift,magazine,900
wildnis,wilderness,900
s.h.i.e.l.d.,s.h.i.e.l.d.,900
menschlicher,human,900
schlamassel,mess,899
behindert,with special needs,899
überbringen,deliver,899
reingezogen,inveigled,899
mitzuteilen,tell,899
zurückkam,came back,898
abstimmung,poll,898
dritt,third,898
senat,senate,898
mittags,at lunchtime,898
marshal,marshal,898
bridge,bridge,898
price,price,898
raucht,smokes,898
veranstalten,organize,897
jahreszeit,season,897
zusätzliche,additional,897
want,want,897
drucken,to press,897
segel,sail,897
crowley,crowley,896
bezahlte,paid,896
überflüssig,superfluous,896
taschentuch,Handkerchief,896
square,square,895
rockmusik,rock music,895
beschleunigen,accelerate,895
wählte,selected,895
lustiger,funnier,895
marian,Kostas,895
glocken,bell,894
tennis,tennis,894
seither,since,894
christen,christen,893
überqueren,cross,893
kreuzung,crossing,893
häusern,houses,893
weiche,soft,893
trudy,trudy,892
punkten,points,892
henderson,henderson,892
verpasse,miss,892
potter,potter,892
reinlegen,to trick,892
jeep,jeep,892
gefilmt,filmed,891
hamilton,hamilton,891
bucht,bay,891
bildschirm,screen,891
saufen,drink,891
gehackt,chopped,891
eminenz,eminenz,891
mailbox,mailbox,891
münchen,Munich,891
erschoss,shot,891
jenkins,jenkins,891
attentat,attack,890
garrett,garrett,890
verschwendung,waste,890
bemerkte,noticed,890
miesen,lousy,890
zischen,hiss,890
helf,helf,890
geschirr,dishes,889
ähnlichkeit,similarity,889
feiglinge,cowards,889
spass,fun,889
lächelt,smiles,889
klaut,steals,889
setzten,translated,888
bon,receipt,888
entwischt,escaped,888
rauchst,smoke,888
masken,masks,888
schwimmt,floats,888
ausgezeichnete,excellent,887
vorname,First name,887
schwitzen,sweat,887
ginger,ginger,887
bourbon,bourbon,887
haust,lives,886
befand,was,886
lacey,lacey,886
elefant,elephant,886
annähernd,nearly,885
gewebe,tissue,885
unterschätzt,underrated,885
sternzeit,sidereal time,885
wachte,cornice,885
barbie,Barbie,885
eichhörnchen,squirrel,885
zerbrechen,break,884
poker,poker,884
wechsel,change,884
lesbe,lesbian,884
cordelia,cordelia,884
konten,accounts,883
schleichen,to sneak,883
strasse,road,883
höschen,panties,883
jüngsten,recent,883
niedrig,low,883
sonja,sonja,883
klimaanlage,air conditioner,883
vulkan,volcano,882
thea,thea,882
anbetracht,anbetracht,882
lesbisch,lesbian,882
cristina,cristina,882
platziert,placed,882
abgrund,Abyss,882
zeichnungen,drawings,882
sinken,fall,882
hamburg,Hamburg,881
trauern,mourn,881
abreise,departure,881
dates,dates,881
bette,bette,881
klemmt,caught,881
ansehe,look,881
lin,lin,881
passend,suitable,880
sidney,sidney,880
mittagspause,lunch break,880
wettkampf,competition,879
verschluckt,swallows,879
limo,soda,879
erhebt,rises,879
beneide,envy,878
beschwerde,complaint,878
erregen,irritate,878
überwältigt,overwhelmed,878
turtle,turtle,878
nypd,nypd,878
benannt,named,878
begrüßt,welcomes,878
trommeln,drums,878
burns,burns,878
hayes,hayes,878
fortsetzen,continue,877
geplatzt,burst,877
pan,pan,877
mildred,mildred,877
erschieße,shoot,877
locke,curl,877
nachnamen,last name,877
anpassen,to adjust,877
altmodisch,old-fashioned,877
teurer,expensive,877
feuerzeug,lighter,876
trau,trust,876
serienmörder,serial killer,876
georges,georges,876
dr,dr,876
durchgegangen,gone through,876
beseitigt,eliminates,876
alkoholiker,alcoholic,876
laßt,leaves,876
ganzem,all my,875
elemente,elements,875
feinden,enemies,875
rückweg,way back,875
amelia,amelia,875
abigail,abigail,874
heimweg,way home,874
menschlichkeit,humanity,874
signora,signora,873
geheimnisvolle,mysteriously,873
mcgee,mcgee,873
befolgt,followed,873
abreisen,leave,873
premiere,premiere,873
schwingen,swing,873
initiative,initiative,873
from,from,873
felicity,felicity,873
sexuellen,sexual,873
geschäftsführer,executive Director,872
telefone,phones,872
peterson,peterson,872
strafzettel,parking ticket,872
gelobt,praised,872
uniformen,uniforms,872
beschissener,crappy,872
pulver,powder,872
welpen,puppies,871
angesprochen,addressed,871
kung,kung,871
angenehme,pleasant,871
kostüme,costumes,871
nachmittags,in the afternoon,871
lebewohl,farewell,871
reporterin,reporter,871
crystal,crystal,870
nikita,nikita,870
vorwand,pretext,870
genervt,annoyed,870
kreditkarten,credit cards,870
durstig,thirsty,870
eintreffen,arrive,870
nationalen,national,870
mitteln,submit,870
trauma,trauma,870
beobachtung,observation,870
aufhält,stays,870
dergleichen,like,869
erwacht,awakes,869
schlaft,is sleeping,869
lebenslauf,curriculum vitae,869
anrufbeantworter,Answering machine,869
feiner,fine,869
verschoben,postponed,869
zumachen,close,869
relativ,relative,869
wes,whose,868
rücksicht,consideration,868
lamm,lamb,868
pier,pier,868
widersprechen,contradict,867
erwische,catch,867
dachboden,attic,867
bradley,bradley,867
keinesfalls,under no circumstances,867
duck,duck,867
bislang,so far,867
retter,savior,867
transportieren,transport,866
anrief,phoned,866
aufpasst,watching,866
braune,tan,866
spontan,spontaneous,866
prächtig,magnificently,865
galactica,galactica,865
verreist,out of town,865
jahrhunderten,centuries,865
pullover,pullover,864
ansprechen,speak to,864
frischer,fresh,864
queens,queens,864
moon,moon,864
spitzel,spy,864
schnellste,fastest,863
bemühungen,efforts,863
dreckiger,dirty,863
büros,offices,863
unfälle,accidents,863
beamte,Officer,863
angeschlossen,affiliated,863
unterschiedliche,different,863
kluger,smarter,863
stürmen,storm,863
jedi,jedi,863
begreife,understand,862
fersen,heels,862
vorbereitungen,preparations,862
fortfahren,Continue,862
produzent,producer,862
zwischenfall,incident,861
zurückgezogen,withdrawn,861
autsch,Ouch,861
ivy,ivy,861
riesiger,giant,861
vorhänge,curtains,861
pflege,maintenance,861
rauslassen,let out,861
kermit,kermit,861
golden,golden,861
nachforschungen,investigations,861
erfahre,experience,861
kanzler,chancellor,860
jin,jin,860
stößt,encounters,860
austin,austin,860
sahne,cream,860
binde,tie,860
zwiebeln,onions,859
schlitten,sled,859
jahrhunderte,centuries,859
talente,talents,859
läßt,leaves,859
rennst,running,859
kay,kay,858
erbarmen,mercy,858
verkünden,proclaim,858
vorgestern,the day before yesterday,858
betreiben,operate,858
starsky,starsky,857
mindeste,least,857
mimi,mimi,857
andrews,andrews,857
singst,sing,857
einsätze,Calls,857
nötigen,force,857
egon,egon,857
bemerkenswert,remarkable,857
warmes,warm,856
dinosaurier,dinosaur,856
wahrscheinlichkeit,probability,855
worin,wherein,855
rabbi,rabbi,855
nachfrage,demand,854
unwohl,unwell,854
pony,pony,854
materie,matter,854
verpisst,verpisst,854
leuchtet,shines,854
wehtut,hurting,854
unterwelt,underworld,853
irrt,errs,853
prüfungen,exams,853
vertrieben,expelled,853
haustür,front door,853
neuigkeit,news,853
gereicht,enough,853
weigert,refuses,853
semester,semester,853
unternommen,done,852
gespart,saved,852
geerbt,inherited,852
starbuck,starbuck,852
glanz,shine,852
fähre,ferry,852
betäubt,stunned,852
arrogant,arrogant,852
ausgeliefert,delivered,852
gästen,guests,852
holland,Holland,851
zuzusehen,watch,851
fotograf,photographer,851
eigentümer,owner,851
hinkriegen,fix,851
speed,speed,851
realistisch,realistic,851
vaughn,vaughn,851
kindergarten,kindergarten,850
riesiges,huge,850
pub,pub,850
bedrückt,depressed,850
streitet,arguing,849
deckt,covers,849
kassette,cassette,849
mack,mack,849
arrow,arrow,849
vergebe,forgive,848
said,Said,848
fish,fish,848
kandidat,candidate,848
klempner,plumber,848
blaues,blue,848
ängste,fears,848
litt,suffered,848
verliebte,amorous,848
befahl,ordered,848
spaghetti,spaghetti,848
franzose,Frenchman,848
dunkler,dark,848
zukünftigen,future,848
anzubieten,offer,848
gesendet,sent,847
tobias,tobias,847
schlauch,tube,847
einstein,Einstein,847
gelähmt,paralyzed,847
grillen,grilling,847
landschaft,landscape,847
funktion,function,847
anonym,anonymous,846
albträume,nightmares,846
träum,dream,846
facebook,facebook,846
mh,mh,846
veranstaltung,event,846
mount,mount,846
verpflichtungen,liabilities,846
sinclair,sinclair,846
rue,rue,846
schülerin,pupil,845
innerlich,inwardly,845
künstlerin,artist,845
madrid,Madrid,845
schöpfer,Creator,845
regiert,governed,845
aufschreiben,write down,845
erleichterung,relief,845
ava,ava,844
auktion,auction,844
regal,shelf,844
fakt,fact,843
christi,christi,843
niveau,level,843
fahndung,manhunt,843
friede,peace,843
erlitten,suffered,843
mathematik,mathematics,843
nasa,NASA,842
bittest,ask,842
psycho,psycho,842
matratze,mattress,842
tretet,transgress,842
mordwaffe,murder weapon,842
finanzielle,financial,842
bänder,bands,842
detectives,detectives,842
wieviele,how many,841
undercover,undercover,841
herzustellen,make,841
arbeitgeber,employer,841
werkzeuge,tools,841
frankenstein,frankenstein,841
beruhigungsmittel,sedative,841
ingrid,ingrid,840
coulson,coulson,840
trugen,carried,840
kurzfristig,short term,840
spannungsvolle,exciting,840
clayton,clayton,840
kämpften,fought,839
erlangen,gain,839
weltall,space,839
nanu,nanu,839
vertuschen,cover up,839
weckt,arouses,839
gewagt,daring,839
nieren,kidneys,839
zinsen,interest,839
hutch,hutch,839
einpacken,wrap up,838
monty,monty,838
ballon,balloon,838
verflixt,darn,838
herkam,came from,838
rudel,pack,838
gregory,gregory,837
horizont,horizon,837
sofia,Sofia,837
durften,were allowed,837
zusätzlich,additionally,836
dekan,dean,836
verträge,contracts,836
umzug,move,836
brady,brady,836
sängerin,singer,836
wäldern,woods,836
darstellen,represent,835
limousine,limousine,835
fracht,freight,835
zurückzukommen,return,835
morty,morty,835
gedenken,commemorate,835
aufgeschrieben,wrote,835
handlungen,actions,835
struktur,structure,835
kerker,prison,835
aufzupassen,take care,835
hüten,guard,834
christ,Christian,834
unverschämt,outrageous,834
durchschaut,seen through,833
mögt,Mögt,833
nachname,Surname,833
händchen,hands,833
calvin,Calvin,833
birne,pear,833
vorgesehen,intended,833
gnädig,mercifully,833
nachgesehen,looked,833
predigt,sermon,833
versehentlich,inadvertently,833
schwerter,swords,833
erwiesen,proven,832
software,software,832
einschlagen,strike,832
schiebt,shoves,831
geahnt,suspected,831
tätig,active,831
abgestürzt,crashed,831
eingriff,intervention,831
politisch,politically,830
gewöhnliche,ordinary,830
stärkste,strongest,830
zuflucht,refuge,830
generator,generator,830
union,union,830
raven,raven,830
ungeduldig,impatient,829
unklar,not clear,829
suspendiert,suspended,829
arbeitsplatz,Workplace,829
treppen,stairs,829
matty,matty,829
vereinen,unite,829
bruch,fracture,829
metern,meters,828
fällst,fall,828
unruhig,restless,828
schlechteste,worst,828
platzt,bursts,828
plastik,plastic,828
abgerissen,tore off,828
halber,half,828
anvertraut,entrusted,827
leder,leather,827
ausser,except,827
verfehlt,unsuccessful,827
verehrte,Distinguished,827
schmutz,dirt,827
aufzuspüren,track down,827
stühle,chairs,827
rausbringen,bring out,827
komitee,committee,827
mamas,mamas,827
klarkommen,cope,826
propheten,propheten,826
durchsage,announcement,826
flora,flora,825
stiefvater,stepfather,825
grimm,wrath,825
lolle,lolle,825
faith,faith,825
auftreiben,raise,825
ernie,ernie,825
nationen,nations,825
ausgaben,expenditure,825
secret,secret,824
käpt,Käpt,824
rauskriegen,find out,824
entstand,originated,824
alarmstufe,alarm level,824
übersetzen,translate,824
griechenland,Greece,823
rüstung,armor,823
attentäter,assassin,823
tauben,deaf,823
gewohnheit,habit,823
mieses,lousy,823
kindermädchen,nanny,823
brenda,brenda,822
nervst,nervst,822
japanische,Japanese,822
bitch,bitch,822
nsa,nsa,822
werner,werner,822
beinhaltet,includes,822
donuts,donuts,822
abgefeuert,discharged,822
luther,Luther,822
davonkommen,get away,821
godzilla,godzilla,821
hinzufügen,Add,821
dreier,three,821
werwolf,werewolf,821
denver,Denver,821
hebe,lifted,821
ehrgeiz,ambition,820
aufenthaltsort,abode,820
hinreißend,adorably,820
gruß,greeting,820
borgia,borgia,820
howie,howie,820
mckay,mckay,820
dj,dj,820
nu,nu,820
zeichnung,drawing,820
geige,violin,820
fortsetzung,continuation,819
kotzt,pukes,819
glückstag,lucky day,819
japanisch,Japanese,819
archiv,archive,819
einholen,catch up,819
bush,bush,819
raushalten,stay out,819
verheimlicht,concealed,819
hacker,hacker,819
hingabe,dedication,818
uhren,watch,818
cyril,cyril,818
erobert,conquered,818
bandit,bandit,818
linien,lines,818
umzugehen,deal,817
roberto,roberto,817
vornamen,vornamen,817
tessa,Tessa,817
nerv,nerve,817
berührung,contact,817
ergreift,take,817
sattel,saddle,817
gelangweilt,bored,817
intakt,intact,817
isabella,isabella,817
poesie,poetry,817
pflegen,care for,817
belastet,loaded,816
reinlassen,let,816
yen,yen,816
geprügelt,beaten,816
perspektive,perspective,816
schreist,cry,816
sperma,sperm,816
hingelegt,put down,816
wildes,wild,816
begreifst,comprehend,815
marcie,marcie,815
ii,ii,815
metropolis,Metropolis,815
schildkröte,turtle,815
umzingelt,surrounded,815
buddha,Buddha,815
bonus,bonus,815
wagst,dare,815
spucken,spit,815
einlassen,let in,815
günstig,Cheap,814
yu,yu,814
lebenslänglich,Life Sentence,814
sloane,sloane,814
präzise,precise,814
bilde,fancy,814
sorgerecht,care,814
blinde,blind,814
gebot,bid,814
p,p,813
zurückzahlen,pay back,813
ameisen,ants,813
verleihen,to lend,813
bearbeitet,processed,813
riker,riker,813
deckel,cover,813
theresa,theresa,813
pentagon,Pentagon,813
frechheit,effrontery,813
sinkt,sinks,813
gastfreundschaft,hospitality,812
enthalten,contain,812
schwamm,sponge,812
glückliches,happy,812
sperrt,locks,812
cliff,cliff,812
healey,healey,812
container,Container,812
aufsetzen,put on,812
erhielten,received,811
ermöglicht,allows,811
erstellen,create,811
cesare,cesare,811
rausgeschmissen,kicked out,811
vorgefallen,happened,811
herbringen,bring here,811
freiwillige,voluntary,811
korrigieren,correct,811
leichnam,body,811
negative,negative,810
never,never,810
schwebt,floats,810
vorsichtiger,more careful,810
pilze,mushrooms,810
kürzer,shorter,810
bezahl,pay,810
behältst,Holds,810
erfüllung,fulfillment,809
verbündeten,ally,809
achtet,pays,809
meiden,avoid,809
ansichten,views,809
isoliert,isolated,808
ausschlag,rash,808
fünfzehn,fifteen,808
aufruhr,revolt,808
felder,fields,808
make,make,807
gesunde,healthy,807
toiletten,Toilets,807
schwierigen,difficult,807
crawford,crawford,807
quittung,receipt,807
portal,portal,807
gesetzes,act,807
großeltern,grandparents,806
mo,Mon.,806
investition,investment,806
raj,raj,806
schweiß,sweat,806
selbstvertrauen,self-confidence,806
geschluckt,swallowed,806
sendet,sends,806
aufgehängt,suspended,805
susie,susie,805
taschenlampe,flashlight,805
saint,saint,805
justiz,judiciary,804
jägerin,huntress,804
heer,army,804
neapel,Naples,804
illegalen,illegal,804
schuft,wretch,804
k.o.,whacked,804
rückt,moves,804
drohte,threatened,804
scheiss,shit,803
zurückkehrt,returns,803
verlangst,asking,803
zünden,ignite,803
ärgert,annoys,802
großteil,large part,802
instrument,instrument,802
codes,codes,802
herzogin,duchess,802
bumsen,fuck,802
aktivität,activity,802
entwickelte,developed,802
ronald,ronald,802
gegenmittel,antidote,801
reiches,rich,801
sheridan,sheridan,801
taktik,tactics,801
studien,studies,801
dramatisch,dramatic,800
potenzial,potential,800
anpassung,Adaptation,800
jugendliche,youth,800
ass,ass,800
zerstörte,destroyed,800
clowns,clowns,800
professionelle,professional,800
verlorenen,lost,800
gelingen,success,800
militärische,military,800
atlanta,Atlanta,800
richards,richards,799
ausgenutzt,exploited,799
maestro,maestro,799
brooks,brooks,799
freies,free,799
cheryl,cheryl,799
gier,greed,799
insbesondere,especially,799
überzeugung,conviction,799
angemeldet,Registered,799
winzige,tiny,799
vorstellungen,imaginations,799
massaker,massacre,799
gail,gail,799
ausdenken,imagine,799
auspacken,unpacking,799
heizung,heater,798
haley,haley,798
magnus,magnus,798
mußte,had to,798
erzähler,teller,798
kolonie,colony,798
gps,gps,798
girls,girls,798
gerichtssaal,courtroom,798
donnerwetter,donnerwetter,798
studentin,student,797
greta,greta,797
tickt,ticking,797
räumt,grants,797
boom,boom,797
miriam,miriam,797
gesichtet,sighted,797
kleben,glue,797
zuzuhören,to listen to,797
ritt,ride,797
bauten,buildings,796
abgeschaltet,off,796
atlantic,atlantic,796
marquis,marquis,796
teich,pond,796
raubüberfall,robbery,796
duell,duel,796
keuchen,wheeze,796
chirurgen,surgeons,796
señorita,señorita,796
wange,cheek,796
auszuschalten,off,796
wiedergutmachen,atone for,796
k.,k.,795
vorbereitung,preparation,795
geile,horny,795
kranker,ill,795
festplatte,hard disk,795
stoß,shock,795
stieß,pushed,795
eingreifen,intervention,795
portland,portland,795
enorm,enormously,795
aufsuchen,visit,795
verzichte,renounce,795
sichtbar,visible,795
pässe,bottlenecks,795
vorschrift,regulation,795
gehör,hearing,794
jedermann,anyone,794
genieß,enjoy some,794
irgendjemanden,anyone,794
ups,ups,794
substanz,substance,794
amsterdam,amsterdam,794
arbeitszimmer,Workspace,794
notwehr,self-defense,794
patrouille,patrol,794
gewitter,thunderstorm,794
dax,dax,793
zeigten,showed,793
klappern,rattle,793
schmetterling,butterfly,793
sarge,coffins,793
preston,preston,793
förmlich,formally,793
celia,celia,793
tammy,tammy,793
enger,close,792
piep,beep,792
ausgetauscht,exchanged,792
baustelle,construction site,792
bewirkt,causes,792
brennan,brennan,792
pratt,pratt,792
gerochen,smelled,791
meintest,my test,791
wusstet,Did,791
broadway,broadway,791
drehst,turn,791
martini,Martini,791
starrt,stares,791
austauschen,change,791
janice,janice,790
schnellen,fast,790
beerdigt,buried,790
sozialen,social,790
angerührt,touched,790
say,say,790
verläuft,extends,790
abschlussball,prom,790
medaille,medal,790
vielmehr,much more,789
anschluss,connection,789
anzünden,light,789
wunderschöner,beautiful,788
naht,seam,788
handtücher,towels,788
basierend,based,788
perfekter,perfect,788
ungewöhnliche,unusual,788
international,international,788
mistkerle,crap guys,788
vizepräsident,vice-president,788
brichst,breaking,788
abgelegt,filed,788
halluzinationen,hallucinations,788
festnahme,arrest,787
steph,steph,787
pirat,pirate,787
umwelt,environment,787
axel,axel,787
butch,butch,787
teilweise,partially,787
verfickte,fucking,787
dat,dat,787
bearbeiten,to edit,787
fetter,fat,787
natürlichen,natural,786
ausgestellt,issued,786
wendet,applies,786
gewöhnlicher,ordinary,786
lavon,lavon,786
springe,jump,786
gingst,walked,786
änderungen,changes,785
orbit,orbit,785
kapsel,capsule,785
unbewaffnet,unarmed,785
internat,boarding school,785
zeile,row,785
mühle,Mill,784
zeitalter,age,784
gabst,gave,784
neger,Negro,784
prediger,preacher,784
schwache,weakness,784
minen,mines,784
paulie,paulie,784
geheimes,secret,784
sessel,armchair,784
wegbringen,bring away,784
shepherd,shepherd,784
weiterhelfen,help,784
verpflichtung,Obligation,784
baten,asked,783
geparkt,parked,783
gerichtsmediziner,court medic,783
anita,anita,783
zurückkommst,come back,783
bluse,blouse,783
reines,pure,782
gegenleistung,compensation,782
jaffa,jaffa,782
gemeinsames,common,782
japanischen,Japanese,782
kehre,turn,782
helfer,helper,782
aufstieg,rise,782
entkommt,escapes,782
partie,game,782
lächle,smile,782
verdeckt,concealed,781
abfall,waste,781
hauptrolle,lead,781
lilly,lilly,781
tarzan,tarzan,781
klingel,bell,781
jens,jens,780
flirten,to flirt,780
spanier,Spaniard,780
taxifahrer,taxi driver,780
länge,length,780
träumst,dream,780
tausenden,thousands,780
blockieren,To block,780
darcy,darcy,780
ausschließen,exclude,779
kiki,kiki,779
wechselt,change,779
erforschen,explore,779
scanner,scanner,779
eisenbahn,railroad,779
rumsitzen,sit around,779
munter,blithely,779
zugesehen,watched,779
karma,karma,779
tristan,tristan,778
stückchen,scrap,778
provinz,province,778
mitgemacht,participated,778
yvonne,yvonne,778
pärchen,pair,778
kritisch,critical,778
peters,peters,778
suzanne,suzanne,778
gesunden,healthy,778
finanziert,funded,778
elektrizität,electricity,778
busen,bosom,777
erlebnis,experience,777
